STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
ANDHRA PRADESH,2001,76210007,2602,1555,136,871,0,871,1182,765,417,214,9,629,7220,16751,3051,13700,3001,788,5391,144,872,34947,420,3544,2271,5791,7,7400,34344,2933,512,13669,130089,60.47,275045.0,270.0,1425.0,70.0,24814.0,423123832.0,214.0,629.0,7220.0,16751.0,24814.0,45.0,29.0,2.0
ARUNACHAL PRADESH,2001,1097968,83,53,3,33,0,33,83,55,28,22,2,84,248,443,36,407,24,41,30,4,13,466,0,78,3,11,0,0,618,0,72,180,2342,54.34,83743.0,0.0,136.0,1.0,797.0,25830824.0,22.0,84.0,248.0,443.0,797.0,11.0,6.0,0.0
ASSAM,2001,26655528,1356,481,40,817,0,817,1480,1070,410,532,14,687,2423,5367,350,5017,2953,374,575,46,441,5805,59,850,4,1248,0,2010,9315,6,0,4048,36877,63.25,78438.0,18.0,253.0,34.0,9009.0,91939857.0,532.0,687.0,2423.0,5367.0,9009.0,35.0,0.0,0.0
BIHAR,2001,82998509,3643,3419,250,888,0,888,2159,518,1641,1291,147,2203,3233,9701,1050,8651,8606,946,1659,85,502,7544,859,562,21,1558,83,2406,36667,1303,47,4489,88432,47.0,94163.0,83.0,576.0,14.0,16428.0,403558199.0,1291.0,2203.0,3233.0,9701.0,16428.0,0.0,0.0,0.0
CHHATTISGARH,2001,20733232,880,529,45,959,0,959,207,171,36,87,19,338,4144,4812,920,3892,871,154,402,8,215,5477,70,1763,161,840,0,689,15790,501,486,3964,38460,64.66,135191.0,441.0894730850391,1191.0,19.0,26923.309352517987,324726682.333962,87.0,338.0,4144.0,4812.0,9381.0,0.0,0.0,0.0
GOA,2001,1347668,36,30,5,12,0,12,9,6,3,7,0,25,359,576,168,408,64,39,62,2,16,174,2,17,7,11,0,191,697,1,0,55,2341,82.01,3702.0,-1.7059077466311976,67.0,1.0,967.0,30781416.0,7.0,25.0,359.0,576.0,967.0,2.3064365195006125,-0.5260704121716371,0.26421397733740415
GUJARAT,2001,50579626,1226,537,94,286,0,286,998,857,141,327,19,991,5142,15834,5504,10330,1930,1748,1779,55,449,13760,67,756,111,3667,0,2924,50719,1242,309,5744,103419,69.14,196024.0,1211.3792591453148,2616.0,38.0,22294.0,666892390.0,327.0,991.0,5142.0,15834.0,22294.0,12.0,8.0,0.0
HARYANA,2001,21144564,781,467,78,398,0,398,449,297,152,77,141,397,3109,6117,3022,3095,750,556,1016,37,203,4744,285,478,401,1513,0,856,15906,229,0,3372,38759,67.91,44212.0,589.7638155072116,1373.0,16.0,9700.0,351821248.0,77.0,397.0,3109.0,6117.0,9700.0,6.0,5.0,0.0
HIMACHAL PRADESH,2001,6077900,119,75,11,124,0,124,126,105,21,4,0,28,844,600,142,458,628,69,146,2,134,1403,10,310,14,317,0,483,6052,110,4,880,11499,76.48,55673.0,22.602361716259253,130.0,2.0,1476.0,46853339.0,4.0,28.0,844.0,600.0,1476.0,0.0,0.0,0.0
JAMMU & KASHMIR,2001,10143700,1075,1474,33,169,0,169,606,504,102,24,0,161,1345,1919,633,1286,1072,90,391,15,437,318,13,622,288,50,0,357,9046,10,0,1646,19505,55.52,222236.0,53.72898049088394,2.0,150.0,3449.0,98537562.0,24.0,161.0,1345.0,1919.0,3449.0,0.0,0.0,0.0
JHARKHAND,2001,26945829,1507,866,143,567,0,567,441,279,162,636,48,647,1266,3827,754,3073,2018,283,554,23,165,2254,217,297,5,484,2,420,8777,158,282,1851,25447,53.56,74677.0,-367.159981047148,285.0,44.0,22827.309352517987,351579777.1985681,636.0,647.0,1266.0,3827.0,6376.0,1.0,1.0,0.0
KARNATAKA,2001,52709035,1626,1475,74,293,0,293,559,271,288,178,36,847,6394,12868,4016,8852,6686,494,2678,131,352,23285,220,1665,81,1755,0,100,47301,1621,276,4285,109098,66.06,191791.0,856.6150110082717,693.0,14.0,67883.30935251799,939972565.3828585,178.0,847.0,6394.0,12868.0,20287.0,15.0,5.0,0.0
KERALA,2001,31841374,472,615,111,562,0,562,183,97,86,176,13,517,4474,5441,1795,3646,8108,428,2756,239,768,19829,27,1942,81,2561,0,0,54544,499,83,5270,103847,90.86,38852.0,282.1898594746576,127.0,4.0,10608.0,384465121.0,176.0,517.0,4474.0,5441.0,10608.0,3.210182010733262,2.30237255371443,-0.2171524680385355
MADHYA PRADESH,2001,60348023,2425,2870,125,2851,0,2851,956,668,288,166,130,1764,13549,20263,4535,15728,3395,481,1413,19,1014,30895,609,7063,751,2562,0,3297,85143,4212,1535,14504,181741,63.74,308245.0,2714.0827998549435,5607.0,10.0,35742.0,462284619.0,166.0,1764.0,13549.0,20263.0,35742.0,4.0,4.0,0.0
MAHARASHTRA,2001,96878627,2839,1454,101,1302,0,1302,985,611,374,529,328,2239,15073,39866,8873,30993,6719,1542,4273,265,1208,30212,308,2823,1120,6090,1,8993,42963,625,238,12255,171233,76.84,307713.0,2922.251617736117,4133.0,69.0,57707.0,2183563610.0,529.0,2239.0,15073.0,39866.0,57707.0,13.0,8.0,0.0
MANIPUR,2001,2302705,209,168,5,20,0,20,94,62,32,20,17,19,75,217,71,146,131,33,66,20,64,201,0,21,0,5,0,7,1097,0,0,108,2489,70.48,22327.0,-53.60081738625101,0.0,4.0,331.0,12026868.0,20.0,19.0,75.0,217.0,331.0,2.701759269290071,-0.13134142609363053,0.029320694680568415
MEGHALAYA,2001,2318822,164,47,2,26,0,26,55,11,44,97,3,125,170,271,16,255,8,19,29,3,26,102,0,25,0,4,0,0,511,0,0,66,1687,62.56,22429.0,-88.11723280779536,65.0,14.0,663.0,12164035.0,97.0,125.0,170.0,271.0,663.0,0.0,0.0,0.0
MIZORAM,2001,888573,31,15,5,52,0,52,2,1,1,3,0,23,417,878,17,861,3,23,71,12,24,94,0,52,0,16,3,23,499,1,10,124,2246,88.49,21081.0,11.474155022020142,31.0,0.0,1321.0,11598070.0,3.0,23.0,417.0,878.0,1321.0,2.617481916259303,-0.6928468744460163,0.3997481196584687
NAGALAND,2001,1990036,101,39,9,17,0,17,23,6,17,11,0,129,163,258,89,169,2,20,34,2,1,37,0,6,0,0,0,19,363,1,310,29,1234,66.59,16579.0,16.842306486893705,21.0,0.0,561.0,29678250.0,11.0,129.0,163.0,258.0,561.0,0.0,0.0,0.0
